time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447350000	11.321	2.85568	0	0	0	radar	6.95323e-310	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	11.5183	2.99276	0	0	0	lidar	1.39612e-309	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	11.5183	2.99276	0	0	0	radar	6.95323e-310	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	11.7102	3.1364	0	0	0	lidar	1.39612e-309	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	11.7102	3.1364	0	0	0	radar	6.95323e-310	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	11.8937	3.28355	0	0	0	lidar	1.39612e-309	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	11.8937	3.28355	0	0	0	radar	6.95323e-310	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	12.0696	3.43635	0	0	0	lidar	1.39612e-309	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	12.0696	3.43635	0	0	0	radar	6.95323e-310	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	12.2425	3.59408	0	0	0	lidar	1.39612e-309	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	12.2425	3.59408	0	0	0	radar	6.95323e-310	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	12.4072	3.75226	0	0	0	lidar	1.39612e-309	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	12.4072	3.75226	0	0	0	radar	6.95323e-310	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	12.5713	3.91598	0	0	0	lidar	1.39612e-309	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	12.5713	3.91598	0	0	0	radar	6.95323e-310	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	12.7233	4.08416	0	0	0	lidar	1.39612e-309	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	12.7233	4.08416	0	0	0	radar	6.95323e-310	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	12.8727	4.25347	0	0	0	lidar	1.39612e-309	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	12.8727	4.25347	0	0	0	radar	6.95323e-310	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	13.0108	4.42162	0	0	0	lidar	1.39612e-309	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	13.0108	4.42162	0	0	0	radar	6.95323e-310	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	13.1462	4.59688	0	0	0	lidar	1.39612e-309	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	13.1462	4.59688	0	0	0	radar	6.95323e-310	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	13.2729	4.7739	0	0	0	lidar	1.39612e-309	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	13.2729	4.7739	0	0	0	radar	6.95323e-310	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	13.3891	4.95238	0	0	0	lidar	1.39612e-309	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	13.3891	4.95238	0	0	0	radar	6.95323e-310	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	13.5054	5.13219	0	0	0	lidar	1.39612e-309	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	13.5054	5.13219	0	0	0	radar	6.95323e-310	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	13.6158	5.3118	0	0	0	lidar	1.39612e-309	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	13.6158	5.3118	0	0	0	radar	6.95323e-310	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	13.7151	5.49306	0	0	0	lidar	1.39612e-309	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	13.7151	5.49306	0	0	0	radar	6.95323e-310	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	13.8071	5.67264	0	0	0	lidar	1.39612e-309	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	13.8071	5.67264	0	0	0	radar	6.95323e-310	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	13.8923	5.85562	0	0	0	lidar	1.39612e-309	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
